full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-29-31-47 MB:04,29-47,124,25,1,no
04-13-30-31-33 MB:04,30-33,111,25,1,yes
04-13-30-31-40 MB:04,30-40,118,25,1,yes
04-13-30-31-41 MB:04,30-41,119,25,1,yes
04-13-30-31-58 MB:04,30-58,136,25,1,yes
02-04-13-31-53 MB:04,02-53,103,25,0,no
04-05-13-31-54 MB:04,05-54,107,25,0,yes
04-07-13-31-48 MB:04,07-48,103,25,0,no
04-08-13-31-35 MB:04,08-35,91,25,0,no
04-08-13-31-43 MB:04,08-43,99,25,0,no
04-08-13-31-57 MB:04,08-57,113,25,0,no
04-09-13-31-32 MB:04,09-32,89,25,0,yes
04-11-13-31-32 MB:04,11-32,91,25,0,yes
04-13-15-31-39 MB:04,15-39,102,25,0,no
04-13-15-31-40 MB:04,15-40,103,25,0,no
04-13-15-31-44 MB:04,15-44,107,25,0,no
04-13-16-31-42 MB:04,16-42,106,25,0,no
04-13-18-31-33 MB:04,18-33,99,25,0,no
04-13-18-31-40 MB:04,18-40,106,25,0,no
04-13-18-31-41 MB:04,18-41,107,25,0,no
04-13-19-31-33 MB:04,19-33,100,25,0,no
04-13-19-31-39 MB:04,19-39,106,25,0,no
04-13-19-31-44 MB:04,19-44,111,25,0,no
04-13-19-31-58 MB:04,19-58,125,25,0,no
04-13-20-31-53 MB:04,20-53,121,25,0,no
04-13-23-31-54 MB:04,23-54,125,25,0,no
04-13-24-31-50 MB:04,24-50,122,25,0,no
04-13-25-31-43 MB:04,25-43,116,25,0,no
04-13-25-31-46 MB:04,25-46,119,25,0,no
04-13-25-31-51 MB:04,25-51,124,25,0,no
04-13-25-31-57 MB:04,25-57,130,25,0,no
04-13-26-31-42 MB:04,26-42,116,25,0,no
04-13-26-31-48 MB:04,26-48,122,25,0,no
04-13-29-31-37 MB:04,29-37,114,25,0,no
04-13-29-31-43 MB:04,29-43,120,25,0,no
04-13-29-31-56 MB:04,29-56,133,25,0,no
04-13-30-31-44 MB:04,30-44,122,25,0,yes
02-04-13-31-41 MB:04,02-41,91,24,3,no
04-13-14-31-57 MB:04,14-57,119,24,3,yes
04-13-24-31-42 MB:04,24-42,114,24,3,no
04-13-30-31-49 MB:04,30-49,127,24,3,yes
04-13-14-31-51 MB:04,14-51,113,24,2,yes
04-13-20-31-40 MB:04,20-40,108,24,2,no
04-13-28-31-42 MB:04,28-42,118,24,2,no
01-04-13-31-52 MB:04,01-52,101,24,1,no
02-04-13-31-40 MB:04,02-40,90,24,1,no
02-04-13-31-58 MB:04,02-58,108,24,1,no
04-05-13-31-32 MB:04,05-32,85,24,1,yes
04-06-13-31-38 MB:04,06-38,92,24,1,no
04-07-13-31-45 MB:04,07-45,100,24,1,no
04-08-13-31-53 MB:04,08-53,109,24,1,no
04-10-13-31-50 MB:04,10-50,108,24,1,no
